Team,World Cup Player,Opponent,Position,Official Man of the Match,Goals,Assists,Shots,Tackles Won,Interceptions,Yellow Cards,Red Cards,Penalty Shootout Misses,Regulation Penalty Kick Misses,Saves,Goals Against,Clean Sheets,Penalty Kick Saves,Total Points
Rahul,nobody,none,none,,,,,,,,,,,,,,,
Ros,nobody,none,none,,,,,,,,,,,,,,,
Karthik,nobody,none,none,,,,,,,,,,,,,,,
Daiven,Mbappe,,FWD,1,1,1,4,,,,,,1,,,,,16
Daiven,Oyarzabal,,FWD,,,,,,,,,,,,,,,0
Daiven,Yamal,,FWD,,,,,,,,,,,,,,,0
Daiven,Enzo,,MID,,,,,,,,,,,,,,,0
Daiven,Lisandro,,DEF,,,,,,,,,,,,,,,0
Daiven,Olmo,,MID,,,,,,,,,,,,,,,0
Brett,Mbappe,,FWD,1,1,1,4,,,,,,1,,,,,16
Brett,Oyarzabal,,FWD,,,,,,,,,,,,,,,0
Brett,Messi,,FWD,,,,,,,,,,,,,,,0
Brett,Jude,,MID,,,,,,,,,,,,,,,0
Brett,Rodri,,DEF,,,,,,,,,,,,,,,0
Brett,Lisandro,,MID,,,,,,,,,,,,,,,0
Vohn,Dembele,,FWD,0,1,0,4,,,,,,,,,,,12
Vohn,Doku,,FWD,,,,,,,,,,,,,,,0
Vohn,Saka,,FWD,,,,,,,,,,,,,,,0
Vohn,Olmo,,MID,,,,,,,,,,,,,,,0
Vohn,Tagliafico,,DEF,,,,,,,,,,,,,,,0
Vohn,Odegaard,,MID,,,,,,,,,,,,,,,0
Nov,Oyarzabal,,FWD,,,,,,,,,,,,,,,0
Nov,Yamal,,FWD,,,,,,,,,,,,,,,0
Nov,Olise,,FWD,,,,,,,,,,,,,,,0
Nov,Jude,,MID,,,,,,,,,,,,,,,0
Nov,O'Rielly,,DEF,,,,,,,,,,,,,,,0
Nov,Olmo,,MID,,,,,,,,,,,,,,,0
